institute_id,name,TLR,RPC,GO,OI,PRECEPTION,city,state,score,nirf_rank,link,no. of male students,no. of female students,total students,Academic Year,No. of first year students intake in the year,No. of first year students admitted the year,Academic Year in,No. of students admitted through Lateral entry,Academic Year,No. of students graduating in minimum stipulated time,No. of students placed,Median salary of placed graduates(Amount Rs.),No. of students selected for Higher in Studies
IR-E-U-0456,Indian Institute of Technology Madras,95.42,94.64,83.90,61.31,100.00,Chennai,Tamil Nadu,89.93,1,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0456.pdf,1814,272,2086,2015-16,466,458,2016-17,0,2018-19,362,268,1360000,65
IR-E-I-1074,Indian Institute of Technology Delhi,90.79,96.15,80.36,64.81,94.46,New Delhi,Delhi,88.08,2,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1074.pdf,2856,345,3201,2015-16,749,746,2016-17,0,2018-19,615,495,1570000,78
IR-E-U-0306,Indian Institute of Technology Bombay,91.00,93.37,77.60,49.99,92.51,Mumbai,Maharashtra,85.08,3,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0306.pdf,2795,307,3102,2015-16,717,666,2016-17,0,2018-19,615,430,1178400,125
IR-E-I-1075,Indian Institute of Technology Kanpur,86.22,82.08,88.44,54.21,85.78,Kanpur,Uttar Pradesh,82.18,4,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1075.pdf,3184,303,3487,2015-16,827,803,2016-17,0,2018-19,770,437,1500000,301
IR-E-U-0573,Indian Institute of Technology Kharagpur,77.32,87.11,83.21,56.62,89.31,Kharagpur,West Bengal,80.56,5,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0573.pdf,2251,224,2475,2015-16,656,637,2016-17,0,2018-19,535,437,1420059,53
IR-E-U-0560,Indian Institute of Technology Roorkee,77.21,76.57,89.65,61.71,60.55,Roorkee,Uttarakhand,76.29,6,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0560.pdf,3123,321,3444,2015-16,900,880,2016-17,0,2018-19,825,726,1450900,99
IR-E-U-0053,Indian Institute of Technology Guwahati,83.04,70.73,83.03,59.13,62.45,Guwahati,Assam,74.90,7,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0053.pdf,2470,267,2737,2015-16,660,629,2016-17,0,2018-19,578,567,1500000,6
IR-E-U-0013,Indian Institute of Technology Hyderabad,82.51,52.47,71.54,55.98,60.42,Hyderabad,Telangana,66.44,8,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0013.pdf,969,186,1155,2015-16,220,203,2016-17,0,2018-19,191,124,1200000,40
IR-E-U-0467,National Institute of Technology Tiruchirappalli,72.11,50.04,74.71,61.49,63.68,Tiruchirappalli,Tamil Nadu,64.10,9,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0467.pdf,2719,662,3381,2015-16,884,839,2016-17,0,2018-19,803,577,900000,168
IR-E-U-0273,Indian Institute of Technology Indore,79.89,53.31,72.09,57.76,27.15,Indore,Madhya Pradesh,62.88,10,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0273.pdf,798,88,886,2015-16,120,111,2016-17,0,2018-19,102,74,1300000,15
IR-E-U-0701,Indian Institute of Technology (BHU) Varanasi,72.34,47.77,77.77,56.07,53.49,Varanasi,Uttar Pradesh,62.54,11,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0701.pdf,2882,257,3139,2015-16,815,757,2016-17,0,2018-19,754,699,1360000,35
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),64.02,63.12,72.11,55.07,39.78,Dhanbad,Jharkhand,62.06,12,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0205.pdf,2995,270,3265,2015-16,814,782,2016-17,0,2018-19,777,603,850000,19
IR-E-U-0237,National Institute of Technology Karnataka,68.93,46.03,78.67,55.24,55.59,Surathkal,Karnataka,61.30,13,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0237.pdf,2676,566,3242,2015-16,868,825,2016-17,0,2018-19,788,692,800000,92
IR-E-U-0439,Anna University,64.62,54.07,61.50,51.62,68.24,Chennai,Tamil Nadu,59.89,14,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0439.pdf,6158,4262,10420,2015-16,2740,2748,2016-17,9,2018-19,2558,1302,500000,107
IR-E-U-0490,Vellore Institute of Technology,56.79,64.06,63.07,58.21,46.29,Vellore,Tamil Nadu,59.32,15,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0490.pdf,19206,3938,23144,2015-16,6220,5117,2016-17,0,2018-19,4666,2968,550000,897
IR-E-U-0357,National Institute of Technology Rourkela,64.38,57.82,74.30,47.23,30.48,Rourkela,Odisha,59.29,16,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0357.pdf,2231,474,2705,2015-16,630,606,2016-17,0,2018-19,511,452,650000,48
IR-E-U-0575,Jadavpur University,53.73,62.04,76.45,40.45,51.61,Kolkata,West Bengal,59.23,17,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0575.pdf,3928,357,4285,2015-16,1034,1050,2016-17,22,2018-19,890,748,830000,132
IR-E-U-0308,Institute of Chemical Technology,68.13,54.04,74.66,45.17,25.98,Mumbai,Maharashtra,58.70,18,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0308.pdf,593,248,841,2015-16,211,214,2016-17,0,2018-19,214,99,475000,84
IR-E-U-0025,National Institute of Technology Warangal,73.38,38.12,74.21,57.81,36.91,Warangal,Telangana,57.76,19,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0025.pdf,2707,920,3627,2015-16,800,785,2016-17,0,2018-19,752,644,901325,65
IR-E-U-0436,Amrita School of Engineering,65.77,56.76,59.00,60.07,28.01,Amritapuri,Kerala,57.37,20,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0436.pdf,7011,1949,8960,2015-16,2040,2150,2016-17,0,2018-19,1768,1199,400000,343
IR-E-U-0584,Indian Institute of Engineering Science and Technology,69.57,47.62,63.17,47.92,45.56,Shibpur,West Bengal,57.14,21,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0584.pdf,1937,310,2247,2015-16,637,610,2016-17,0,2018-19,439,316,650000,52
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,77.05,37.17,64.77,56.27,39.56,Bhubaneswar,Odisha,56.80,22,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0355.pdf,801,92,893,2015-16,180,162,2016-17,0,2018-19,148,120,900000,11
IR-E-U-0263,National Institute of Technology Calicut,71.05,31.30,78.29,63.87,38.04,Kozhikode,Kerala,56.56,23,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0263.pdf,2867,869,3736,2015-16,890,838,2016-17,0,2018-19,832,750,805000,59
IR-E-U-0139,Indian Institute of Technology Gandhinagar,83.76,34.55,55.15,57.90,38.26,Gandhinagar,Gujarat,56.15,24,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0139.pdf,622,77,699,2015-16,150,139,2016-17,0,2018-19,120,58,725000,21
IR-E-U-0378,Indian Institute of Technology Ropar,79.11,30.54,70.31,59.24,30.75,Rupnagar,Punjab,55.95,25,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0378.pdf,714,77,791,2015-16,120,113,2016-17,0,2018-19,106,76,1120000,25
IR-E-U-0064,Indian Institute of Technology Patna,78.20,39.24,62.28,51.86,28.57,Patna,Bihar,55.74,26,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0064.pdf,788,56,844,2015-16,200,189,2016-17,0,2018-19,186,114,1000000,7
IR-E-U-0334,Visvesvaraya National Institute of Technology,67.70,45.19,69.73,53.77,15.56,Nagpur,Maharashtra,54.76,27,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0334.pdf,2288,862,3150,2015-16,746,750,2016-17,0,2018-19,678,437,600000,178
IR-E-U-0108,Jamia Millia Islamia,63.16,48.11,71.43,58.00,11.13,New Delhi,Delhi,54.58,28,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0108.pdf,1286,212,1498,2015-16,350,350,2016-17,0,2018-19,342,235,720000,81
IR-E-I-1480,Thapar Institute of Engineering & Technology,65.95,47.65,65.69,54.82,17.42,Patiala,Punjab,54.45,29,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-I-1480.pdf,5106,1190,6296,2015-16,1270,1274,2016-17,120,2018-19,1270,1040,630000,63
IR-E-U-0391,Birla Institute of Technology & Science,61.95,34.87,77.36,56.26,42.47,Pilani,Rajasthan,54.39,30,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0391.pdf,8342,1154,9496,2015-16,2155,2155,2016-17,0,2018-19,2135,1866,1250000,247
IR-E-U-0184,Indian Institute of Technology Mandi,70.38,36.80,67.11,64.70,21.26,Mandi,Himachal Pradesh,54.17,31,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0184.pdf,544,71,615,2015-16,145,134,2016-17,0,2018-19,128,85,1000000,17
IR-E-U-0497,Amity University Noida,71.22,50.11,51.01,56.94,8.05,Gautam Budh Nagar,Uttar Pradesh,53.09,32,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0497.pdf,5450,1886,7336,2015-16,2220,2125,2016-17,0,2018-19,1840,952,375000,252
IR-E-U-0255,Indian Institute of Space Science and Technology,78.65,24.02,62.88,62.97,33.32,Thiruvananthapuram,Kerala,53.01,33,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0255.pdf,382,82,464,2015-16,120,120,2016-17,0,2018-19,114,91,913668,3
IR-E-U-0363,Siksha `O` Anusandhan,74.73,29.41,68.18,64.26,10.70,Bhubaneswar,Odisha,52.38,34,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0363.pdf,3253,3525,6778,2015-16,1680,1631,2016-17,26,2018-19,1638,1395,350000,194
IR-E-U-0410,Malaviya National Institute of Technology,71.41,41.69,59.89,54.40,8.95,Jaipur,Rajasthan,52.25,35,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0410.pdf,2214,477,2691,2015-16,717,680,2016-17,0,2018-19,565,475,680000,19
IR-E-U-0098,Delhi Technological University,63.36,31.12,73.21,53.07,36.91,New Delhi,Delhi,51.99,36,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0098.pdf,6572,1039,7611,2015-16,1676,1597,2016-17,52,2018-19,1495,1306,900000,189
IR-E-U-0476,Shanmugha Arts Science Technology & Research Academy,73.13,33.81,64.89,56.60,10.70,Thanjavur,Tamil Nadu,51.79,37,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0476.pdf,4502,2573,7075,2015-16,1560,1535,2016-17,81,2018-19,1458,1225,500000,103
IR-E-U-0202,Birla Institute of Technology,70.07,34.81,58.75,51.57,30.48,Ranchi,Jharkhand,51.42,38,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0202.pdf,2196,472,2668,2015-16,750,679,2016-17,0,2018-19,585,412,800000,7
IR-E-U-0496,Aligarh Muslim University,70.58,45.83,56.57,40.89,10.70,Aligarh,Uttar Pradesh,51.39,39,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0496.pdf,1414,241,1655,2015-16,385,402,2016-17,0,2018-19,370,140,420000,164
IR-E-U-0172,National Institute of Technology Kurukshetra,63.85,41.64,61.65,54.75,17.42,Kurukshetra,Haryana,51.19,40,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0172.pdf,2845,462,3307,2015-16,892,852,2016-17,0,2018-19,721,542,650000,150
IR-E-U-0473,S. R. M. Institute of Science and Technology,61.27,41.96,63.57,61.06,11.55,Chennai,Tamil Nadu,50.95,41,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0473.pdf,16500,4153,20653,2015-16,5630,5260,2016-17,53,2018-19,4708,4139,350000,464
IR-E-U-0356,Kalinga Institute of Industrial Technology,66.08,25.80,65.80,75.70,17.79,Bhubaneswar,Odisha,50.07,42,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0356.pdf,7623,7256,14879,2015-16,3450,3641,2016-17,148,2018-19,3673,3329,420000,211
IR-E-U-0014,International Institute of Information Technology Hyderabad,53.01,36.66,73.92,52.91,24.77,Hyderabad,Telangana,49.45,43,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0014.pdf,482,83,565,2015-16,150,147,2016-17,0,2018-19,134,114,2000000,13
IR-E-C-16604,Sri Sivasubramaniya Nadar College of Engineering,66.01,31.10,63.81,53.47,20.25,Kancheepuram,Tamil Nadu,49.26,44,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-16604.pdf,2496,1488,3984,2015-16,819,826,2016-17,101,2018-19,787,642,440000,123
IR-E-C-7252,Manipal Institute of Technology,70.32,24.86,54.60,62.23,33.57,Manipal,Karnataka,49.06,45,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-7252.pdf,6665,1580,8245,2015-16,1760,1851,2016-17,145,2018-19,1742,927,620000,186
IR-E-U-0055,National Institute of Technology Silchar,61.63,35.41,62.30,51.68,19.21,Silchar,Assam,48.66,46,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0055.pdf,2137,312,2449,2015-16,632,606,2016-17,0,2018-19,553,407,627000,27
IR-E-U-0577,National Institute of Technology Durgapur,54.76,36.98,64.42,50.22,29.68,Durgapur,West Bengal,48.39,47,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0577.pdf,2337,543,2880,2015-16,847,756,2016-17,0,2018-19,748,522,600000,121
IR-E-U-0530,Motilal Nehru National Institute of Technology,59.71,30.56,69.00,50.72,22.89,Allahabad,Uttar Pradesh,48.24,48,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0530.pdf,3089,478,3567,2015-16,939,922,2016-17,0,2018-19,832,671,800000,107
IR-E-C-37013,PSG College of Technology,69.35,19.73,52.14,48.69,51.77,Coimbatore,Tamil Nadu,47.21,49,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-37013.pdf,3275,1845,5120,2015-16,1140,1123,2016-17,260,2018-19,1181,653,400000,125
IR-E-C-41593,College of Engineering Pune,61.94,21.89,67.56,51.85,29.40,Pune,Maharashtra,46.79,50,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-C-41593.pdf,2024,945,2969,2015-16,570,665,2016-17,130,2018-19,724,538,780000,167
IR-E-U-0474,Sathyabama Institute of Science and Technology,59.06,31.77,64.14,64.20,2.69,Chennai,Tamil Nadu,46.77,51,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0474.pdf,6602,2967,9569,2015-16,2664,2664,2016-17,47,2018-19,2451,1953,325000,296
IR-E-U-0374,Dr. B. R. Ambedkar National Institute of Technology,66.18,25.99,59.76,58.66,9.84,Jalandhar,Punjab,46.45,52,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0374.pdf,2348,491,2839,2015-16,786,700,2016-17,0,2018-19,685,490,600000,104
IR-E-U-0395,Indian Institute of Technology Jodhpur,67.71,26.19,56.17,59.29,8.05,Jodhpur,Rajasthan,46.13,53,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0395.pdf,595,72,667,2015-16,120,120,2016-17,0,2018-19,106,69,937000,5
IR-E-U-0149,Sardar Vallabhbhai National Institute of Technology,57.49,31.20,62.46,55.13,9.84,Surat,Gujarat,45.59,54,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0149.pdf,2543,488,3031,2015-16,818,768,2016-17,0,2018-19,727,516,672000,76
